IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Alcohol-content-based specific excise,EXCISETAXTYPE_EXCISETAX_ALCOHOLCONTENT,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Ad valorem excise,EXCISETAXTYPE_EXCISETAX_ADVALOREM,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Alcohol-content-based specific excise,EXCISETAXTYPE_EXCISETAX_ALCOHOLCONTENT,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Ad valorem excise,EXCISETAXTYPE_EXCISETAX_ADVALOREM,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Alcohol-content-based specific excise,EXCISETAXTYPE_EXCISETAX_ALCOHOLCONTENT,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EUR,Europe,Country,LVA,Latvia,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Ad valorem excise,EXCISETAXTYPE_EXCISETAX_ADVALOREM,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EUR,Europe,Country,LVA,Latvia,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Volume-based specific excise,EXCISETAXTYPE_EXCISETAX_VOLUME,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EUR,Europe,Country,LVA,Latvia,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Ad valorem excise,EXCISETAXTYPE_EXCISETAX_ADVALOREM,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EUR,Europe,Country,LVA,Latvia,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Volume-based specific excise,EXCISETAXTYPE_EXCISETAX_VOLUME,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Ad valorem excise,EXCISETAXTYPE_EXCISETAX_ADVALOREM,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Alcohol-content-based specific excise,EXCISETAXTYPE_EXCISETAX_ALCOHOLCONTENT,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Ad valorem excise,EXCISETAXTYPE_EXCISETAX_ADVALOREM,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Alcohol-content-based specific excise,EXCISETAXTYPE_EXCISETAX_ALCOHOLCONTENT,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,LBR,Liberia,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Ad valorem excise,EXCISETAXTYPE_EXCISETAX_ADVALOREM,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,LBR,Liberia,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Alcohol-content-based specific excise,EXCISETAXTYPE_EXCISETAX_ALCOHOLCONTENT,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,LBR,Liberia,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Ad valorem excise,EXCISETAXTYPE_EXCISETAX_ADVALOREM,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,LBR,Liberia,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Alcohol-content-based specific excise,EXCISETAXTYPE_EXCISETAX_ALCOHOLCONTENT,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Ad valorem excise,EXCISETAXTYPE_EXCISETAX_ADVALOREM,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Volume-based specific excise,EXCISETAXTYPE_EXCISETAX_VOLUME,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Ad valorem excise,EXCISETAXTYPE_EXCISETAX_ADVALOREM,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Volume-based specific excise,EXCISETAXTYPE_EXCISETAX_VOLUME,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Ad valorem excise,EXCISETAXTYPE_EXCISETAX_ADVALOREM,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Alcohol-content-based specific excise,EXCISETAXTYPE_EXCISETAX_ALCOHOLCONTENT,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Alcohol-content-based specific excise,EXCISETAXTYPE_EXCISETAX_ALCOHOLCONTENT,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Volume-based specific excise,EXCISETAXTYPE_EXCISETAX_VOLUME,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Alcohol-content-based specific excise,EXCISETAXTYPE_EXCISETAX_ALCOHOLCONTENT,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Volume-based specific excise,EXCISETAXTYPE_EXCISETAX_VOLUME,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Alcohol-content-based specific excise,EXCISETAXTYPE_EXCISETAX_ALCOHOLCONTENT,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Spirits,BEVERAGE_BEV_SPIRITS,Excise tax type,Volume-based specific excise,EXCISETAXTYPE_EXCISETAX_VOLUME,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
TAXBEV_EXCISE,Excise taxes on beverages (%),numeric,AFR,Africa,Country,MLI,Mali,Year,2022,true,Substance Abuse Beverage Types,Alcoholic,BEVERAGETYPE_ALCOHOLIC,Beverage,Beer,BEVERAGE_BEV_BEER,Excise tax type,Alcohol-content-based specific excise,EXCISETAXTYPE_EXCISETAX_ALCOHOLCONTENT,,,,0,,,,,,0,,,EN,2023-11-01T04:00:00.000Z
